effects1,effects2
0.4216087764,0.8521088375
0.6103382144,1.0151782389
1.2962600612,1.7800542376
0.3311885537,0.5005491525
0.3340221209,0.2160814523
0.3883531683,0.84894933
0.6509194041,0.7231416819
0.2470733103,0.5222640415
0.5924325432,0.5093234578
0.5346049932,1.2308432732
0.6058476066,1.0130375551
0.4746990324,0.4629796767
0.4578113147,0.847154893
0.7460754615,0.6833075792
0.731071891,0.5940083442
0.4920243438,0.3649773529
0.5037408098,0.2135205544
0.4695380305,0.3249899615
0.6309431095,0.3793092413
0.5408584695,0.523079959
0.7284786246,0.8735884281
0.5377409143,0.5059225555
0.4285722506,0.7888625779
0.7156558576,0.7028218537
0.3125407696,0.3660185579
0.2117935933,0.4701678973
0.4743063013,1.4038116717
0.0925906284,1.09522876
1.0336513585,0.6992653032
0.205956624,0.3585626018
0.5425594711,0.7639085502
0.3205752173,1.7208634211
0.6929019347,0.358623668
0.7321586523,0.2773479983
0.5404238237,0.310727113
0.4445787437,0.5416593653
0.9765064054,0.6483104068
0.2978314584,0.1447119083
0.754972311,0.7638893569
0.4520904401,0.5001102631
0.8074987317,1.0551966464
0.3240252701,0.3558487585
0.3012082396,0.4576637561
0.8700007594,0.6951960226
1.1652161227,1.165501672
0.536761899,0.5992590101
0.640019752,0.7852683258
0.7673437534,0.6430664992
0.9214122114,1.0835574209
0.9900031114,0.9717108695
0.4156687597,0.7843237666
0.8205602302,0.6096457529
0.2391181659,0.2026522894
0.2943004391,0.128854543
0.7177516042,0.6016289873
0.714700841,1.1408757115
0.1042495393,0.5571287363
1.0680106995,1.3463769733
0.2283697866,0.5195162587
0.4610560673,0.4061511437
0.3694401997,0.3843549734
0.7716806947,1.3250568224
0.2701432021,0.479182619
0.3851025585,1.4960739354
0.3268103756,0.490173911
0.6663065203,0.5897057167
0.76951999,0.8789367339
1.0306408471,0.6359587427
0.6163141004,0.62916948
0.3587144372,0.1825390746
0.6530267074,0.7564291341
0.4344570307,1.2749453051
0.3991642588,0.3368585183
0.2553506708,0.1705478693
0.438289092,0.6130272993
0.5825024589,0.530719118
0.6788052023,0.5061585404
0.1679484502,1.0747561352
0.198783801,0.7349807708
0.3066472462,0.4482903614
0.3809406596,0.6557184588
0.451916508,0.1278773278
0.7009271356,0.4095859154
0.9502064261,1.7047822627
0.3286360895,0.5267967777
0.8032202808,0.4517453843
0.275774536,0.4526121407
1.0241876721,0.3560105849
0.2811617418,0.9853647864
0.7425763752,0.4587828323
0.7214397592,0.6503226202
0.9978459671,0.5977293073
0.5240823908,0.9525883781
0.8306282568,1.188890699
0.7047818432,0.3339434025
0.4505474335,0.5059549026
0.366761063,0.4826264942
0.6334783194,0.2597094312
0.6592234236,0.8116874704
0.8671322277,1.440014794
0.5637483129,0.8397711601
0.7583158435,1.1496720607
0.7387644707,0.4385866548
0.3175469335,0.8224552572
0.435804646,0.9238643367
1.1723138932,0.6210205342
0.9270367747,0.9383262203
0.4233033572,0.5820573077
0.2905223031,0.2607788829
0.5178772841,0.5677173788
0.8252987223,0.6543173736
1.0473184973,1.0615270718
0.639095856,0.5573987194
0.2233220268,0.2074877035
0.7839165118,0.6350739629
0.5254441293,0.6134156852
1.7952104684,1.4123045083
0.6961081419,0.8261373781
1.0659425416,0.4579967651
0.2576735896,0.4676867042
0.9168001502,0.7359843832
0.9335314897,0.9464100044
0.9236229173,0.6945608638
0.5843343909,0.2124044227
0.5742272933,0.8231236047
0.7509624066,0.8027760803
0.5056386153,0.6843876278
1.182185769,1.0293797731
0.8445394802,0.6468494656
0.3523905865,0.3245102292
0.354239555,0.9229163103
0.9292422912,1.0098291241
0.5235389011,0.8299437433
0.4947587699,0.7515524223
0.7429003979,0.7173358132
0.2270938427,0.5893516679
1.2467033626,1.4676147723
0.6467592406,1.5071600896
0.5338206612,0.3136676754
0.9753870748,0.6576819517
0.7716150059,0.5447010446
0.5832081778,1.6252131144
0.6624567224,0.6054925812
0.5877536244,1.0514305
0.1462909532,0.5550895159
0.7151589661,0.8514101986
0.323339804,0.4219345675
0.6879173173,0.248350534
1.8575691844,1.5865016256
1.109124754,0.4887296963
0.7674267796,1.1228731527
0.1493279018,0.8451933271
0.5475904596,0.5859370799
0.5084831337,0.5733791684
1.282999846,1.3893205216
0.2661072979,0.543649784
0.4021121017,0.2958864489
0.2858483944,0.4628382541
0.824617439,0.8173169294
0.2823181119,0.1915002156
0.950332395,0.956550573
0.2682604593,0.5019324416
0.9112820005,0.4754999521
0.5447624678,0.6950482102
1.0522850182,0.7213234895
0.3364467173,0.6401829852
0.6409516907,0.2349363382
0.9259804303,0.8343215796
1.1562140681,0.7789861354
0.5031315629,0.6404942401
0.553969008,0.0206035993
0.8441894464,0.6458686651
0.1956022929,0.4751293322
0.7386346303,0.3573672687
0.8205686509,0.6489930259
0.486981285,0.6836053041
0.7079741016,0.6264955507
0.4668087393,-0.0133198143
0.5948793972,0.3170943942
0.3280708464,0.4091120268
0.6434652216,0.5470358978
0.6339094182,1.2425266245
0.8819769993,1.5085822275
0.5300091249,1.0008409197
0.5098593983,0.9230815607
0.1860182361,0.4780565503
0.3301203718,0.9654158187
0.5319610566,0.6048891144
0.6361875518,1.3006308954
0.5371811851,0.3381737667
0.2512430188,0.6798085939
0.6316849672,0.5183247477
0.4276304798,0.566455909
0.5955543504,0.6101716318
0.5451010033,0.7607081514
0.3438397628,1.015890956
0.4475510659,0.3636290005
0.4091012393,0.494850649
0.4460021317,0.5476391983
0.3510145239,0.2490616952
1.4319628504,1.3849531799
0.203302666,0.7655954311
0.7639130805,1.2936770665
0.6797313944,1.7106497547
0.9469250289,0.9545941222
0.349408823,0.8508555331
0.584710012,0.4226927493
0.3293070935,0.452328901
0.2935963481,0.424540085
0.7693652653,0.7188259891
0.398772528,1.0019806461
0.4082173932,0.0938284727
0.4535089502,0.7597490079
0.5840030766,0.8478425765
0.7766326365,0.6886691071
0.5491617774,0.4969982588
0.8119890611,1.0008581833
0.2860389861,0.4839105851
0.5842814194,0.3341586763
1.1509628422,1.4516331153
1.010548805,1.184581424
1.0211335675,0.4526812519
0.5142847364,0.5734329958
0.4463831514,0.5406821253
1.2926018695,0.807972844
1.155804025,0.8262864006
0.2644957296,0.4316180592
0.6096648199,0.8443196687
0.8781790429,0.9531097538
0.7540628077,1.5827901867
0.6541934644,0.507358847
0.5759364372,0.4483757083
1.0400155729,0.3113744574
1.1994932968,1.1541864387
0.8763365209,2.1113450605
0.3460097385,0.4844841929
1.2501774535,0.7049463687
0.5828110326,0.4108094494
0.2141812535,2.0679141293
0.1924468318,0.2695954634
0.3523918568,0.3978116636
0.7495206592,0.3709914075
0.4896032613,0.6740359764
0.6370004809,0.3698853757
0.3753410673,1.1043085935
0.5077018612,0.5219188299
0.6713015727,0.7383255107
0.8813777358,1.01215508
1.0869136091,0.9999189632
0.810628902,1.1888783684
0.4551110139,0.8508345356
0.8774554134,0.5942502763
0.5372511723,0.2327337402
1.0227909906,1.1598057742
0.2145711792,1.1561150174
0.8085497949,0.7570601154
0.4532002777,0.5264913081
0.680964534,0.4719445439
0.4739398033,0.1860243146
0.44066193,0.5785676294
0.6786400753,0.6490264516
0.3930203161,0.7658076542
0.3906236004,0.3881241667
0.6422425346,0.6279262284
0.674241175,1.5370706175
0.698249193,0.6968718022
0.4473948329,0.3972118481
0.5061781745,0.5270322628
0.1263021852,0.9996314236
0.7913411601,1.1591388589
1.0318906755,0.8102064042
0.5008745211,0.7325303082
0.2210123252,0.7931886247
0.9028312691,0.9035656836
0.6043034109,1.1972805029
0.5122108808,1.0550975112
1.0038479951,0.9905174521
0.4071111173,1.0516682311
0.6253706476,0.817759592
0.4181792104,0.6733927989
0.311063629,0.5104302072
0.5248062075,0.5456537616
0.6443486981,0.6364293679
1.4552574391,0.9547939034
0.595971812,0.3025427496
1.4215119721,1.0860638254
0.7365970429,0.7551118255
0.3330257859,0.6444021502
0.5983224261,0.8655721426
0.4209974021,0.5280203534
0.5524385565,0.6363470535
0.4498482871,0.5174895243
0.5703135487,0.9230021029
0.4058320644,0.5370889244
0.710471236,0.334944776
0.6905549357,0.3573025302
0.429875824,1.0357193763
0.6837074548,1.1081628542
0.5801142714,0.816434135
0.7573579616,0.9471722117
0.6287834636,0.9277116385
0.4592558029,0.5036733271
0.6284167869,0.5442933872
0.7190325942,0.8920234602
0.5380668475,0.8731566752
0.4452897798,0.5506514232
0.9096979224,0.9465255776
0.7293072589,0.4902393795
0.6730589623,0.6194995512
0.6198751145,0.8500918973
0.7915041873,0.3723625591
0.282977208,0.9618488974
0.429030595,0.716004959
0.5971935445,0.4005418261
0.2696815241,0.6226209435
0.4325391449,0.544434513
0.4002242632,0.2012137474
0.5556921833,0.5075967599
0.7503347157,0.5207720584
0.4491485339,0.2411829582
0.5839319097,0.6390701425
0.6057996688,0.424895497
0.9484240744,0.7054309969
0.3880463291,0.9841947772
0.9981480364,1.0205300406
0.4979753292,0.7846813972
0.3023996675,0.8813837283
0.7438067938,0.5181110938
0.5441497008,0.8868547423
0.3363420746,0.3844889834
0.701173205,0.872899241
0.6050440771,0.4721045945
0.728910116,0.9818036071
1.2122919905,1.5975960722
0.4495734605,0.6467941988
1.2587954446,1.5205635956
0.4872340762,0.588452309
0.3505888555,0.7929523585
0.2696809814,0.7128498793
0.3095551553,1.0015915086
1.7547608891,1.5695101326
0.549945473,0.3276108659
0.8844256659,1.3251441087
0.4661161278,0.6094897299
0.7929163438,0.6059461656
0.8391423044,0.8201740466
0.7299148094,0.1928130361
0.449032816,0.4942363815
0.4285956149,0.7705842892
0.6178781783,0.9280983931
0.5204228954,0.603481121
0.7458901825,0.3673402116
0.5543526534,0.268501766
0.5043150043,0.6206759166
0.7909753352,0.4953992758
